rally,round,team,receive_location,digger_location,pass_land_location,hitter_location,hit_land_location,pass_rating,set_type,set_location,hit_type,num_blockers,block_touch,serve_type,win_reason,lose_reason,winning_team
1,1,b,4,4,13,13,7,in,in,quick,off_speed,2,no,jump,,,a
1,2,a,7,6,3,11,17,out,out,oppo,hit,3,no,,,,a
1,3,b,6,6,21,25,13,out,out,outside,free_ball,0,no,,,,a
1,4,a,13,13,13,15,4,in,in,outside,hit,1,no,,,,a
1,5,b,9,9,3,15,4,out,out,outside,hit,3,yes,,,,a
1,6,a,4,4,3,12,5,in,in,bic,hit,2,yes,,,,a
1,7,b,10,10,3,15,8,out,out,outside,roll_shot,2,no,,,,a
1,8,a,8,6,8,11,11,out,out,oppo,off_speed,3,no,,kill,kill,a
2,1,b,3,3,13,14,2,in,in,quick,off_speed,2,no,jump,kill,kill,b
3,1,a,2,2,12,11,11,in,in,oppo,hit,2,yes,jump,,,a
3,2,b,12,12,12,13,19,in,in,bic,hit,3,no,,hit_error,hit_error,a
4,1,b,,,,,,,,,,,,jump,serve_error,serve_error,b
5,1,a,7,8,13,14,6,in,in,quick,hit,2,no,float,kill,kill,a
6,1,b,4,3,26,15,20,out,out,outside,hit,3,no,jump,hit_error,hit_error,a
7,1,b,5,5,7,15,22,in,in,outside,hit,2,yes,jump,tool,tool,b
8,1,a,3,3,12,15,5,in,in,outside,hit,2,no,jump,kill,kill,a
9,1,b,8,8,8,15,21,out,out,outside,hit,3,no,float,hit_error,hit_error,a
10,1,b,9,8,13,14,10,in,in,quick,hit,2,no,float,kill,kill,b
11,1,a,2,2,12,14,12,in,in,quick,tip,1,no,jump,,,b
11,2,b,12,11,4,15,16,out,out,outside,hit,3,yes,,tool,tool,b
12,1,a,4,4,19,,,,,,,,,jump,ace,ace,b
13,1,a,,,,,,,,,,,,jump,serve_error,serve_error,a
14,1,b,6,7,12,15,5,in,in,outside,hit,2,yes,jump,,,b
14,2,a,9,9,23,13,6,out,out,oppo,free_ball,0,no,,,,b
14,3,b,7,6,12,12,9,in,in,quick,hit,1,no,,kill,kill,b
15,1,a,8,8,13,11,8,in,in,oppo,hit,1,yes,float,,,b
15,2,b,8,8,12,11,3,in,in,d-ball,hit,2,no,,kill,kill,b
16,1,a,8,8,13,14,12,in,in,quick,hit,2,yes,float,kill,kill,a
17,1,b,,,,,,,,,,,,jump,serve_error,serve_error,b
18,1,a,4,5,13,15,4,out,out,outside,hit,2,no,jump,kill,kill,a
19,1,b,9,9,13,13,13,in,in,quick,tip,0,no,jump,hit_error,hit_error,a
20,1,b,3,2,12,11,15,in,in,oppo,hit,2,yes,jump,,,a
20,2,a,15,,,,11,,,,tip,0,no,,,,a
20,3,b,11,11,8,15,15,out,out,outside,roll_shot,1,no,,hit_error,hit_error,a
21,1,b,2,2,7,15,4,out,out,outside,hit,2,no,jump,,,b
21,2,a,4,9,,,,out,,,free_ball,0,no,,,,b
21,3,b,15,15,13,11,26,out,out,oppo,hit,2,yes,,tool,tool,b
22,1,a,,,,,,,,,,,,jump,serve_error,serve_error,a
23,1,b,,,,,,,,,,,,jump,serve_error,serve_error,b
24,1,a,7,7,13,14,10,in,in,quick,hit,2,no,float,kill,kill,a
25,1,b,4,5,13,14,2,in,in,quick,hit,2,no,jump,kill,kill,b
26,1,a,,,,,,,,,,,,jump,serve_error,serve_error,a
27,1,b,9,9,13,15,19,in,in,outside,hit,2,yes,float,,,a
27,2,a,6,19,11,15,6,in,in,outside,hit,2,no,,,,a
27,3,b,6,6,,,26,out,out,d-ball,free_ball,0,no,,hit_error,hit_error,a
28,1,b,10,9,12,11,12,in,in,d-ball,hit,2,yes,float,,,a
28,2,a,12,,,,,,,outside,tip,0,no,,kill,kill,a
29,1,b,3,3,,,13,out,,,overpass,0,no,hybrid,,,a
29,2,a,13,13,13,15,14,in,in,quick,overpass,1,no,,kill,kill,a
30,1,b,10,9,14,14,13,in,in,quick,hit,3,yes,float,,,b
30,2,a,14,13,9,11,17,out,out,oppo,hit,1,no,,hit_error,hit_error,b
31,1,a,3,3,13,13,4,in,in,quick,hit,2,no,jump,,,b
31,2,b,9,8,6,8,2,out,out,quick,hit,3,no,,,,b
31,3,a,3,3,9,11,6,in,in,oppo,hit,2,no,,,,b
31,4,b,6,7,11,12,15,out,out,quick,tip,2,no,,,,b
31,5,a,10,15,15,6,12,out,out,oppo,hit,1,no,,hit_error,hit_error,b
32,1,a,2,2,12,15,,in,in,outside,hit,2,no,jump,,,a
32,2,b,3,3,12,15,,in,in,outside,roll_shot,2,no,,,,a
32,3,a,6,6,13,14,,in,in,bic,hit,2,no,,kill,kill,a
33,1,b,6,7,13,15,9,in,in,outside,hit,2,no,jump,,,b
33,2,a,9,9,,,26,,,,,,,,hit_error,hit_error,b
34,1,a,3,3,13,14,11,out,out,bic,tip,0,no,jump,,,a
34,2,b,11,11,12,15,3,out,out,outside,off_speed,3,no,,,,a
34,3,a,3,8,7,15,6,in,in,outside,off_speed,2,no,,,,a
34,4,b,6,6,13,15,6,out,out,outside,roll_shot,2,no,,,,a
34,5,a,6,6,8,11,15,out,out,outside,hit,2,yes,,,,a
34,6,b,4,3,13,11,3,in,in,oppo,hit,2,no,,,,a
34,7,a,3,3,8,14,4,in,in,outside,hit,2,no,,kill,kill,a
35,1,b,2,3,12,15,10,in,in,outside,hit,2,no,jump,,,b
35,2,a,9,9,10,11,1,out,out,oppo,off_speed,1,no,,,,b
35,3,b,7,7,13,15,,in,in,outside,hit,2,yes,,tool,tool,b
36,1,a,9,9,14,14,,in,in,quick,blocked,2,yes,jump,,,a
36,3,a,15,14,14,11,1,in,in,oppo,hit,1,no,,,,a
36,4,b,7,7,,,8,out,,,overpass,0,no,,,,a
36,5,a,8,8,12,15,7,in,in,outside,hit,2,no,,kill,kill,a
37,1,b,10,4,14,15,11,in,in,outside,blocked,2,yes,jump,,,b
37,3,b,15,15,14,15,26,out,out,outside,hit,2,yes,,tool,tool,b
38,1,a,4,5,12,13,23,in,in,quick,hit,2,yes,jump,tool,tool,a
39,1,b,3,3,13,15,21,in,in,outside,hit,2,no,jump,hit_error,hit_error,a
40,1,b,2,1,13,13,,in,in,quick,hit,0,no,jump,,,a
40,2,a,1,6,,14,20,out,,outside,hit,1,yes,,tool,tool,a
41,1,b,4,3,6,16,3,out,out,oppo,hit,2,no,jump,hit_error,hit_error,a
42,1,b,2,3,19,8,5,out,out,bic,hit,2,no,jump,kill,kill,b
43,1,a,,,,,,,,,,,,jump,serve_error,serve_error,a
44,1,b,3,3,,,12,out,,bic,overpass,0,no,jump,,,a
44,2,a,12,,,12,14,,,quick,hit,2,yes,,tool,tool,a
45,1,a,3,3,13,14,1,in,in,bic,hit,2,no,jump,,,a
45,2,b,6,6,9,26,13,out,out,outside,roll_shot,0,no,,,,a
45,3,a,13,13,13,15,9,in,in,outside,hit,2,no,,kill,kill,a
46,1,b,1,2,13,15,26,in,in,outside,hit,2,yes,jump,tool,tool,b
47,1,a,7,6,13,15,13,out,out,outside,hit,2,yes,float,,,b
47,2,b,13,13,8,11,1,out,out,oppo,hit,2,no,,,,b
47,3,a,8,8,4,15,21,out,out,outside,hit,2,no,,hit_error,hit_error,b
48,1,a,6,6,12,15,25,in,in,outside,hit,2,no,float,,,b
48,2,b,10,10,12,14,17,out,out,outside,blocked,2,yes,,,,b
48,4,b,11,11,13,13,2,in,in,bic,off_speed,2,no,,,,b
48,5,a,,,,,,,,,,,,,net,net,b
49,1,a,7,7,12,13,5,in,in,quick,hit,2,yes,float,,,a
49,2,b,10,10,8,11,21,in,in,oppo,hit,2,no,,hit_error,hit_error,a
50,1,b,3,3,11,15,17,in,in,outside,hit,1,yes,jump,tool,tool,b
51,1,a,3,3,11,,,in,,,blocked,,,jump,,,b
51,3,a,11,11,7,9,,out,out,outside,hit,2,no,,,,b
51,4,b,4,3,20,25,,out,out,outside,free_ball,0,no,,,,b
51,5,a,13,13,13,11,18,in,in,oppo,hit,2,no,,hit_error,hit_error,b
52,1,a,3,3,12,15,5,in,in,outside,blocked,2,yes,jump,blocked,blocked,b
53,1,a,3,3,13,13,5,in,in,quick,hit,1,no,jump,kill,kill,a
54,1,b,8,3,12,14,7,in,in,quick,hit,2,no,float,kill,kill,b
55,1,a,2,2,6,15,,out,out,outside,off_speed,3,yes,jump,,,a
55,2,b,4,4,13,15,5,in,in,outside,hit,2,no,,,,a
55,3,a,9,9,13,11,5,in,in,oppo,hit,2,no,,net,net,a
56,1,b,8,7,13,14,7,in,in,quick,hit,2,no,jump,kill,kill,b
57,1,a,8,8,14,15,9,in,in,outside,hit,2,no,float,kill,kill,a
58,1,b,2,2,13,14,1,in,in,quick,hit,1,no,jump,kill,kill,b
59,1,a,10,9,3,11,18,out,out,oppo,hit,3,no,jump,hit_error,hit_error,b
60,1,a,4,4,13,14,16,in,in,quick,hit,2,yes,jump,tool,tool,a
61,1,b,4,4,14,14,8,in,in,quick,hit,2,no,jump,kill,kill,b
62,1,a,3,3,11,13,,in,in,quick,hit,2,no,jump,,,a
62,2,b,2,3,,,19,,,,,,,,hit_error,hit_error,a
63,1,b,2,2,12,11,3,in,in,oppo,hit,2,no,jump,,,b
63,2,a,3,3,,,8,,,,free_ball,0,no,,,,b
63,3,b,8,8,13,15,3,in,in,outside,hit,2,no,,,,b
63,4,a,3,3,14,14,,in,in,outside,hit,2,no,,net,net,b
64,1,a,8,7,9,15,2,out,out,outside,hit,2,yes,float,,,a
64,2,b,2,3,9,15,3,out,out,outside,hit,2,no,,,,a
64,3,a,3,3,8,11,7,out,out,oppo,hit,2,no,,,,a
64,4,b,7,7,1,14,4,out,out,outside,hit,3,yes,,,,a
64,5,a,4,4,14,15,,in,in,outside,blocked,2,yes,,,,a
64,7,a,15,15,10,7,7,out,out,oppo,off_speed,2,yes,,,,a
64,8,b,7,6,9,11,13,out,out,oppo,roll_shot,2,no,,,,a
64,9,a,13,7,9,15,,out,out,outside,blocked,2,yes,,,,a
64,11,a,13,13,9,15,3,out,out,outside,off_speed,2,yes,,kill,kill,a
65,1,b,4,4,,,26,,,,,,,jump,hit_error,hit_error,a
66,1,b,5,4,13,15,,in,in,outside,blocked,2,yes,jump,blocked,blocked,a
67,1,b,3,3,13,14,11,in,in,quick,roll_shot,2,no,jump,kill,kill,b
68,1,a,3,3,13,13,6,in,in,bic,hit,0,no,jump,,,b
68,2,b,6,7,25,25,8,out,out,outside,off_speed,3,no,,,,b
68,3,a,8,8,12,12,3,in,in,quick,hit,2,no,,,,b
68,4,b,3,3,13,,13,out,,,tip,0,no,,,,b
68,5,a,13,13,,,13,,,,overpass,0,no,,,,b
68,6,b,13,13,,13,12,,,quick,tip,1,no,,kill,kill,b
69,1,a,3,3,12,15,10,in,in,outside,hit,1,no,jump,kill,kill,a
70,1,b,9,3,13,15,8,in,in,outside,hit,1,no,float,kill,kill,b
71,1,a,,,,,,,,,,,,jump,serve_error,serve_error,a
72,1,b,,,,,,,,,,,,jump,serve_error,serve_error,b
73,1,a,7,8,6,15,3,out,out,outside,hit,3,yes,float,,,b
73,2,b,3,9,13,11,,in,in,oppo,hit,1,yes,,tool,tool,b
74,1,a,8,8,13,13,9,in,in,quick,hit,1,no,float,,,a
74,2,b,9,9,,11,,,,,tip,0,no,,net,net,a
75,1,b,4,3,12,11,8,in,in,oppo,hit,2,no,jump,,,a
75,2,a,8,8,23,15,6,out,out,outside,off_speed,3,no,,,,a
75,3,b,6,6,12,15,20,in,in,outside,off_speed,2,no,,hit_error,hit_error,a
76,1,b,4,4,13,15,9,in,in,outside,hit,2,no,jump,kill,kill,a
77,1,b,3,3,13,14,6,in,in,quick,hit,2,yes,jump,,,a
77,2,a,6,6,8,11,16,out,out,outside,blocked,3,yes,,blocked,blocked,a
78,1,b,3,3,11,12,7,in,in,bic,hit,2,no,jump,,,b
78,2,a,7,7,,,23,,,,,,,,hit_error,hit_error,b
79,1,a,,,,,,,,,,,,jump,serve_error,serve_error,a
80,1,b,3,4,17,13,5,out,out,outside,hit,3,no,jump,kill,kill,b
81,1,a,6,7,13,11,10,out,out,oppo,hit,2,no,float,,,a
81,2,b,10,10,,,16,,,,,,,,hit_error,hit_error,a
82,1,b,10,4,12,11,2,in,in,oppo,hit,2,yes,jump,,,a
82,2,a,2,7,16,15,12,out,out,outside,tip,2,no,,,,a
82,3,b,12,14,12,13,24,in,in,bic,hit,3,no,,hit_error,hit_error,a
83,1,b,3,3,13,15,10,in,in,oppo,hit,2,yes,jump,,,b
83,2,a,10,10,,,23,,,,,,,,hit_error,hit_error,b
84,1,a,7,3,12,13,11,in,in,quick,hit,2,yes,jump,tool,tool,a
85,1,b,9,9,13,15,13,in,in,outside,blocked,2,yes,float,,,b
85,2,b,13,13,9,6,8,out,out,oppo,hit,2,no,,,,b
85,3,a,8,7,13,13,13,in,in,bic,hit,2,no,,net,net,b
86,1,a,9,9,13,15,13,in,in,outside,hit,2,no,jump,kill,kill,a
87,1,b,2,2,13,15,24,in,in,outside,hit,2,no,jump,hit_error,hit_error,a
88,1,b,3,3,13,12,11,in,in,quick,blocked,2,yes,jump,,,b
88,2,b,11,11,8,6,7,out,out,oppo,hit,2,no,,,,b
88,3,a,7,2,10,15,11,out,out,outside,roll_shot,2,yes,,,,b
88,4,b,11,11,8,15,7,out,out,outside,off_speed,2,no,,kill,kill,b
89,1,a,8,8,13,15,3,in,in,outside,hit,2,no,float,kill,kill,a
90,1,b,3,3,13,14,6,in,in,quick,off_speed,2,no,jump,,,a
90,2,a,6,7,14,15,14,out,out,outside,hit,2,no,,,,a
90,3,b,14,14,13,13,13,out,out,,blocked,1,yes,,,,a
90,4,b,13,13,8,15,13,out,out,oppo,blocked,2,yes,,,,a
90,5,b,14,13,9,15,14,out,out,oppo,blocked,3,yes,,kill,kill,a
91,1,b,3,3,11,11,,out,out,oppo,roll_shot,2,no,jump,net,net,a
92,1,b,4,4,7,15,,out,out,outside,hit,2,no,jump,,,b
92,2,a,9,9,14,,25,,,,,,,,hit_error,hit_error,b
93,1,a,4,4,13,13,7,in,in,quick,hit,2,no,jump,kill,kill,a
94,1,b,3,3,13,14,5,in,in,bic,hit,2,no,jump,kill,kill,b
95,1,a,4,4,13,15,17,in,in,outside,hit,2,no,jump,hit_error,hit_error,b
96,1,a,,,,,,,,,,,,jump,serve_error,serve_error,a
